,month,callsign,usage,theoretical_availability,percentage_utilisation,percentage_utilisation_display
0,2023-01-01,CC70,921.0,35220.0,0.026149914821124363,2.6%
1,2023-02-01,CC70,241.0,31920.0,0.007550125313283208,0.8%
2,2023-03-01,CC70,1893.0,35340.0,0.053565365025466896,5.4%
3,2023-04-01,CC70,461.0,34200.0,0.01347953216374269,1.3%
4,2023-05-01,CC70,597.0,35340.0,0.016893039049235992,1.7%
5,2023-06-01,CC70,235.0,34200.0,0.006871345029239766,0.7%
6,2023-07-01,CC70,1132.0,35340.0,0.032031692133559705,3.2%
7,2023-08-01,CC70,931.0,35340.0,0.026344086021505377,2.6%
8,2023-09-01,CC70,1232.0,34200.0,0.0360233918128655,3.6%
9,2023-10-01,CC70,742.0,35340.0,0.020996038483305036,2.1%
10,2023-11-01,CC70,944.0,34200.0,0.02760233918128655,2.8%
11,2023-12-01,CC70,1704.0,35340.0,0.048217317487266556,4.8%
12,2024-01-01,CC70,1360.0,35340.0,0.038483305036785515,3.8%
13,2024-02-01,CC70,2104.0,33060.0,0.06364186327888688,6.4%
14,2024-03-01,CC70,1561.0,35340.0,0.04417091114883984,4.4%
15,2024-04-01,CC70,1608.0,34200.0,0.047017543859649125,4.7%
16,2024-05-01,CC70,972.0,35340.0,0.027504244482173174,2.8%
17,2024-06-01,CC70,680.0,34200.0,0.019883040935672516,2.0%
18,2024-07-01,CC70,672.0,35340.0,0.019015280135823428,1.9%
19,2024-08-01,CC70,707.0,35340.0,0.020005659309564234,2.0%
20,2024-09-01,CC70,524.0,34200.0,0.015321637426900585,1.5%
21,2024-10-01,CC70,1662.0,35340.0,0.04702886247877759,4.7%
22,2024-11-01,CC70,1499.0,34200.0,0.04383040935672514,4.4%
23,2024-12-01,CC70,1808.0,35340.0,0.0511601584606678,5.1%
24,2023-01-01,CC71,145.0,18600.0,0.0077956989247311825,0.8%
25,2023-02-01,CC71,266.0,16800.0,0.015833333333333335,1.6%
26,2023-03-01,CC71,306.0,18600.0,0.016451612903225808,1.6%
27,2023-04-01,CC71,208.0,21600.0,0.00962962962962963,1.0%
28,2023-05-01,CC71,267.0,22320.0,0.01196236559139785,1.2%
29,2023-06-01,CC71,0.0,21600.0,0.0,0.0%
30,2023-07-01,CC71,0.0,22320.0,0.0,0.0%
31,2023-08-01,CC71,0.0,22320.0,0.0,0.0%
32,2023-09-01,CC71,127.0,21600.0,0.00587962962962963,0.6%
33,2023-10-01,CC71,311.0,18600.0,0.01672043010752688,1.7%
34,2023-11-01,CC71,95.0,18000.0,0.005277777777777778,0.5%
35,2023-12-01,CC71,684.0,18600.0,0.036774193548387096,3.7%
36,2024-01-01,CC71,100.0,18600.0,0.005376344086021506,0.5%
37,2024-02-01,CC71,112.0,17400.0,0.006436781609195402,0.6%
38,2024-03-01,CC71,0.0,18600.0,0.0,0.0%
39,2024-04-01,CC71,125.0,21600.0,0.005787037037037037,0.6%
40,2024-05-01,CC71,276.0,22320.0,0.012365591397849462,1.2%
41,2024-06-01,CC71,114.0,21600.0,0.005277777777777778,0.5%
42,2024-07-01,CC71,183.0,22320.0,0.008198924731182796,0.8%
43,2024-08-01,CC71,0.0,22320.0,0.0,0.0%
44,2024-09-01,CC71,339.0,21600.0,0.015694444444444445,1.6%
45,2024-10-01,CC71,224.0,18600.0,0.012043010752688172,1.2%
46,2024-11-01,CC71,490.0,18000.0,0.02722222222222222,2.7%
47,2024-12-01,CC71,117.0,18600.0,0.006290322580645161,0.6%
48,2023-01-01,CC72,218.0,18600.0,0.011720430107526882,1.2%
49,2023-02-01,CC72,475.0,16800.0,0.028273809523809524,2.8%
50,2023-03-01,CC72,1039.0,18600.0,0.05586021505376344,5.6%
51,2023-04-01,CC72,902.0,18000.0,0.05011111111111111,5.0%
52,2023-05-01,CC72,1387.0,18600.0,0.07456989247311828,7.5%
53,2023-06-01,CC72,424.0,18000.0,0.023555555555555555,2.4%
54,2023-07-01,CC72,174.0,18600.0,0.00935483870967742,0.9%
55,2023-08-01,CC72,356.0,18600.0,0.019139784946236558,1.9%
56,2023-09-01,CC72,628.0,18000.0,0.034888888888888886,3.5%
57,2023-10-01,CC72,145.0,18600.0,0.0077956989247311825,0.8%
58,2023-11-01,CC72,246.0,18000.0,0.013666666666666667,1.4%
59,2023-12-01,CC72,581.0,18600.0,0.031236559139784945,3.1%
60,2024-01-01,CC72,129.0,18600.0,0.006935483870967742,0.7%
61,2024-02-01,CC72,294.0,17400.0,0.01689655172413793,1.7%
62,2024-03-01,CC72,1394.0,18600.0,0.07494623655913979,7.5%
63,2024-04-01,CC72,823.0,18000.0,0.04572222222222222,4.6%
64,2024-05-01,CC72,677.0,18600.0,0.03639784946236559,3.6%
65,2024-06-01,CC72,407.0,18000.0,0.02261111111111111,2.3%
66,2024-07-01,CC72,653.0,18600.0,0.03510752688172043,3.5%
67,2024-08-01,CC72,1056.0,18600.0,0.0567741935483871,5.7%
68,2024-09-01,CC72,431.0,18000.0,0.023944444444444445,2.4%
69,2024-10-01,CC72,1068.0,18600.0,0.05741935483870968,5.7%
70,2024-11-01,CC72,519.0,18000.0,0.028833333333333332,2.9%
71,2024-12-01,CC72,437.0,18600.0,0.02349462365591398,2.3%
72,2023-01-01,H70,2632.0,35220.0,0.07473026689381033,7.5%
73,2023-02-01,H70,3562.0,31920.0,0.11159147869674185,11.2%
74,2023-03-01,H70,2786.0,35340.0,0.07883418222976797,7.9%
75,2023-04-01,H70,3884.0,34200.0,0.1135672514619883,11.4%
76,2023-05-01,H70,4555.0,35340.0,0.1288907753254103,12.9%
77,2023-06-01,H70,5265.0,34200.0,0.15394736842105264,15.4%
78,2023-07-01,H70,3335.0,35340.0,0.094368986983588,9.4%
79,2023-08-01,H70,4267.0,35340.0,0.12074136955291455,12.1%
80,2023-09-01,H70,4893.0,34200.0,0.1430701754385965,14.3%
81,2023-10-01,H70,3647.0,35340.0,0.10319750990379174,10.3%
82,2023-11-01,H70,2787.0,34200.0,0.08149122807017543,8.1%
83,2023-12-01,H70,1522.0,35340.0,0.043067345783814374,4.3%
84,2024-01-01,H70,3349.0,35340.0,0.09476513865308432,9.5%
85,2024-02-01,H70,2236.0,33060.0,0.0676346037507562,6.8%
86,2024-03-01,H70,2869.0,35340.0,0.08118279569892473,8.1%
87,2024-04-01,H70,2333.0,34200.0,0.06821637426900584,6.8%
88,2024-05-01,H70,3155.0,35340.0,0.08927560837577815,8.9%
89,2024-06-01,H70,4819.0,34200.0,0.140906432748538,14.1%
90,2024-07-01,H70,3714.0,35340.0,0.10509337860780985,10.5%
91,2024-08-01,H70,5126.0,35340.0,0.14504810413129599,14.5%
92,2024-09-01,H70,3412.0,34200.0,0.09976608187134503,10.0%
93,2024-10-01,H70,3483.0,35340.0,0.09855687606112054,9.9%
94,2024-11-01,H70,1925.0,34200.0,0.056286549707602336,5.6%
95,2024-12-01,H70,1445.0,35340.0,0.040888511601584604,4.1%
96,2023-01-01,H71,1230.0,18600.0,0.06612903225806452,6.6%
97,2023-02-01,H71,665.0,16800.0,0.03958333333333333,4.0%
98,2023-03-01,H71,0.0,18600.0,0.0,0.0%
99,2023-04-01,H71,827.0,21600.0,0.038287037037037036,3.8%
100,2023-05-01,H71,1646.0,22320.0,0.07374551971326165,7.4%
101,2023-06-01,H71,2638.0,21600.0,0.12212962962962963,12.2%
102,2023-07-01,H71,2158.0,22320.0,0.09668458781362008,9.7%
103,2023-08-01,H71,1020.0,22320.0,0.0456989247311828,4.6%
104,2023-09-01,H71,1265.0,21600.0,0.05856481481481481,5.9%
105,2023-10-01,H71,1547.0,18600.0,0.08317204301075269,8.3%
106,2023-11-01,H71,298.0,18000.0,0.016555555555555556,1.7%
107,2023-12-01,H71,289.0,18600.0,0.01553763440860215,1.6%
108,2024-01-01,H71,1792.0,18600.0,0.09634408602150538,9.6%
109,2024-02-01,H71,96.0,17400.0,0.005517241379310344,0.6%
110,2024-03-01,H71,1767.0,18600.0,0.095,9.5%
111,2024-04-01,H71,436.0,21600.0,0.020185185185185184,2.0%
112,2024-05-01,H71,1192.0,22320.0,0.053405017921146956,5.3%
113,2024-06-01,H71,613.0,21600.0,0.02837962962962963,2.8%
114,2024-07-01,H71,1759.0,22320.0,0.07880824372759856,7.9%
115,2024-08-01,H71,2692.0,22320.0,0.12060931899641578,12.1%
116,2024-09-01,H71,118.0,21600.0,0.005462962962962963,0.5%
117,2024-10-01,H71,0.0,18600.0,0.0,0.0%
118,2024-11-01,H71,862.0,18000.0,0.04788888888888889,4.8%
119,2024-12-01,H71,910.0,18600.0,0.0489247311827957,4.9%
